frame_id,ok,gap_px,gap_mm,gap_x_left_full,gap_x_right_full,gap_x_left_roi,gap_x_right_roi,seg_gap_x_left_full,seg_gap_x_right_full,seg_gap_x_left_roi,seg_gap_x_right_roi,depth_gap_x_left_full,depth_gap_x_right_full,gap_px_depth,near_depth_mm,pipe1_x0_full,pipe1_x1_full,pipe2_x0_full,pipe2_x1_full,roi_enabled,roi_x,roi_y,blur_var,saturation_ratio,valid_ratio,edge_strength,gap_px_median,gap_px_mean,gap_px_std,n_valid,passes,reasons,ml_gap_px,ml_gap_x_left_full,ml_gap_x_right_full,ml_gap_x_left_roi,ml_gap_x_right_roi,ml_valid_ratio
17cm_20260113_231633_light(5),True,57.0,5.415,255.0,311.0,55.0,111.0,,,,,255.0,312.0,57.0,256.0,200.0,255.0,312.0,356.0,True,200,80,474.49912757110883,0.0022727272727272726,1.0,999.0,57.0,57.0,0.0,80,True,[],,,,,,0.0
17cm_20260113_231738_no_direct_light,True,125.0,11.875,236.0,360.0,36.0,160.0,,,,,236.0,361.0,125.0,240.0,200.0,236.0,361.0,386.0,True,200,80,212.2303808806244,0.0019545454545454545,1.0,999.0,125.0,125.0,0.0,80,True,[],,,,,,0.0
17cm_20260113_231832_light(2),True,56.0,5.32,256.0,311.0,56.0,111.0,,,,,256.0,312.0,56.0,254.0,209.0,256.0,312.0,388.0,True,200,80,429.03218649443295,0.0022727272727272726,1.0,999.0,56.0,56.0,0.0,80,True,[],,,,,,0.0
21cm_20260113_231257_no_direct_light,True,103.0,9.785,234.0,336.0,34.0,136.0,,,,,234.0,337.0,103.0,215.0,200.0,234.0,337.0,470.0,True,200,80,306.42122916890503,0.0014696969696969698,1.0,999.0,103.0,103.0,0.0,80,True,[],,,,,,0.0
21cm_20260113_231345_light(2),False,,,,,,,,,,,,,,,,,,,True,200,80,350.57128891408405,0.0022727272727272726,0.0,,,,,0,False,['no_gap_found'],,,,,,0.0
21cm_20260113_231432_light(5),False,,,,,,,,,,,,,,,,,,,True,200,80,143.83967709911616,0.0022727272727272726,0.0,,,,,0,False,['no_gap_found'],,,,,,0.0
25cm_20260113_230920_light(2),True,50.0,4.75,282.0,331.0,82.0,131.0,,,,,282.0,332.0,50.0,248.0,250.0,282.0,332.0,485.0,True,200,80,449.80102527266985,0.0022727272727272726,1.0,999.0,50.0,50.0,0.0,80,True,[],,,,,,0.0
25cm_20260113_231016_light(5),False,,,,,,,,,,,,,,,,,,,True,200,80,446.567414806646,0.0022727272727272726,0.0,,,,,0,False,['no_gap_found'],,,,,,0.0
25cm_20260113_231110_no_direct_light,True,97.0,9.215,229.0,325.0,29.0,125.0,,,,,229.0,326.0,97.0,249.0,200.0,229.0,326.0,480.0,True,200,80,386.33650771258044,0.0,1.0,999.0,97.0,97.0,0.0,80,True,[],,,,,,0.0
30cms_20260113_230515_light(5),True,16.0,1.52,472.0,487.0,272.0,287.0,,,,,472.0,488.0,16.0,296.0,335.0,472.0,488.0,501.0,True,200,80,413.99968311845726,0.0022575757575757577,1.0,999.0,16.0,16.0,0.0,80,True,[],,,,,,0.0
30cms_20260113_230615_no_direct_light,True,81.0,7.695,243.0,323.0,43.0,123.0,,,,,243.0,324.0,81.0,297.0,200.0,243.0,324.0,499.0,True,200,80,353.001734486685,0.001287878787878788,1.0,999.0,81.0,81.0,0.0,80,True,[],,,,,,0.0
30cms_20260113_230718_light(2),False,,,,,,,,,,,,,,,,,,,True,200,80,418.9385103578971,0.0022727272727272726,0.0,,,,,0,False,['no_gap_found'],,,,,,0.0
35cms_20260113_225847_no_direct_light,True,41.0,3.895,265.0,305.0,65.0,105.0,,,,,265.0,306.0,41.0,349.0,200.0,265.0,306.0,497.0,True,200,80,358.51421170655414,0.0022575757575757577,1.0,999.0,41.0,41.0,0.0,80,True,[],,,,,,0.0
35cms_20260113_230042_light(2),True,95.0,9.025,216.0,310.0,16.0,110.0,,,,,216.0,311.0,95.0,348.0,200.0,216.0,311.0,495.0,True,200,80,423.3475185247361,0.0022575757575757577,1.0,999.0,95.0,95.0,0.0,80,True,[],,,,,,0.0
35cms_20260113_230213_light(5),True,85.0,8.075,227.0,311.0,27.0,111.0,,,,,227.0,312.0,85.0,349.0,200.0,227.0,312.0,496.0,True,200,80,409.354746199208,0.0022727272727272726,1.0,999.0,85.0,85.0,0.0,80,True,[],,,,,,0.0
captures_20260113_024652,False,,,,,,,,,,,,,,,,,,,True,200,80,218.40267494897842,0.0022727272727272726,0.0,,,,,0,False,['no_gap_found'],,,,,,0.0
captures_20260113_024736,True,58.0,5.51,272.0,329.0,72.0,129.0,,,,,272.0,330.0,58.0,362.0,200.0,272.0,330.0,626.0,True,200,80,254.52956772359963,0.0022727272727272726,1.0,999.0,58.0,58.0,0.0,80,True,[],,,,,,0.0
captures_20260113_024815,True,49.0,4.655,293.0,341.0,93.0,141.0,,,,,293.0,342.0,49.0,312.0,200.0,293.0,342.0,570.0,True,200,80,337.25610765817265,0.0,1.0,999.0,49.0,49.0,0.0,80,True,[],,,,,,0.0
captures_20260113_024913,True,72.0,6.84,285.0,356.0,85.0,156.0,,,,,285.0,357.0,72.0,274.0,200.0,285.0,357.0,570.0,True,200,80,387.1967843084825,0.0022727272727272726,1.0,999.0,72.0,72.0,0.0,80,True,[],,,,,,0.0
captures_20260113_025001,True,95.0,9.025,273.0,367.0,73.0,167.0,,,,,273.0,368.0,95.0,247.0,200.0,273.0,368.0,593.0,True,200,80,509.2035141136363,0.0,1.0,999.0,95.0,95.0,0.0,80,True,[],,,,,,0.0
captures_20260113_025105,True,119.0,11.305,268.0,386.0,68.0,186.0,,,,,268.0,387.0,119.0,197.0,200.0,268.0,387.0,578.0,True,200,80,303.6046162175735,0.0014242424242424242,1.0,999.0,119.0,119.0,0.0,80,True,[],,,,,,0.0
